PAHY_Scaf_069 0 PAHY_Scaf_069 10 26
PAHY_Scaf_069 0 PAHY_Scaf_069 109 1
PAHY_Scaf_069 0 PAHY_Scaf_069 110 1
PAHY_Scaf_069 0 PAHY_Scaf_069 1 104
PAHY_Scaf_069 0 PAHY_Scaf_069 11 42
PAHY_Scaf_069 0 PAHY_Scaf_069 12 16
PAHY_Scaf_069 0 PAHY_Scaf_069 13 40
PAHY_Scaf_069 0 PAHY_Scaf_069 14 11
PAHY_Scaf_069 0 PAHY_Scaf_069 15 28
PAHY_Scaf_069 0 PAHY_Scaf_069 16 17
PAHY_Scaf_069 0 PAHY_Scaf_069 17 16
PAHY_Scaf_069 0 PAHY_Scaf_069 179 1
PAHY_Scaf_069 0 PAHY_Scaf_069 18 16
PAHY_Scaf_069 0 PAHY_Scaf_069 19 5
PAHY_Scaf_069 0 PAHY_Scaf_069 20 10
PAHY_Scaf_069 0 PAHY_Scaf_069 21 9
PAHY_Scaf_069 0 PAHY_Scaf_069 22 7
PAHY_Scaf_069 0 PAHY_Scaf_069 23 3
PAHY_Scaf_069 0 PAHY_Scaf_069 24 4
PAHY_Scaf_069 0 PAHY_Scaf_069 25 5
PAHY_Scaf_069 0 PAHY_Scaf_069 26 4
PAHY_Scaf_069 0 PAHY_Scaf_069 2 72
PAHY_Scaf_069 0 PAHY_Scaf_069 28 2
PAHY_Scaf_069 0 PAHY_Scaf_069 29 3
PAHY_Scaf_069 0 PAHY_Scaf_069 31 3
PAHY_Scaf_069 0 PAHY_Scaf_069 34 3
PAHY_Scaf_069 0 PAHY_Scaf_069 35 1
PAHY_Scaf_069 0 PAHY_Scaf_069 3 61
PAHY_Scaf_069 0 PAHY_Scaf_069 36 1
PAHY_Scaf_069 0 PAHY_Scaf_069 37 1
PAHY_Scaf_069 0 PAHY_Scaf_069 39 2
PAHY_Scaf_069 0 PAHY_Scaf_069 4 52
PAHY_Scaf_069 0 PAHY_Scaf_069 5 32
PAHY_Scaf_069 0 PAHY_Scaf_069 6 37
PAHY_Scaf_069 0 PAHY_Scaf_069 7 29
PAHY_Scaf_069 0 PAHY_Scaf_069 8 68
PAHY_Scaf_069 0 PAHY_Scaf_069 9 56
PAHY_Scaf_069 100 PAHY_Scaf_069 101 152
PAHY_Scaf_069 100 PAHY_Scaf_069 102 116
PAHY_Scaf_069 100 PAHY_Scaf_069 103 137
PAHY_Scaf_069 100 PAHY_Scaf_069 104 119
PAHY_Scaf_069 100 PAHY_Scaf_069 105 106
